Contract.Number,Plan.ID,SSA.State.County.Code,FIPS.State.County.Code,State,County,Enrollment
S2893,801,7070,9015,CT,Windham,75
S4501,804,7000,9001,CT,Fairfield,243
S4501,804,7040,9009,CT,New Haven,11
S4607,2,7000,9001,CT,Fairfield,12
S4802,76,7000,9001,CT,Fairfield,2505
S4802,76,7010,9003,CT,Hartford,2576
S4802,76,7020,9005,CT,Litchfield,744
S4802,76,7030,9007,CT,Middlesex,503
S4802,76,7040,9009,CT,New Haven,2949
S4802,76,7050,9011,CT,New London,1209
S4802,76,7060,9013,CT,Tolland,323
S4802,76,7070,9015,CT,Windham,581
S4802,77,7000,9001,CT,Fairfield,15
S4802,77,7040,9009,CT,New Haven,13
S4802,137,7000,9001,CT,Fairfield,3071
S4802,137,7010,9003,CT,Hartford,1457
S4802,137,7020,9005,CT,Litchfield,605
S4802,137,7030,9007,CT,Middlesex,355
S4802,137,7040,9009,CT,New Haven,1346
S4802,137,7050,9011,CT,New London,598
S4802,137,7060,9013,CT,Tolland,313
S4802,137,7070,9015,CT,Windham,217
S4802,171,7000,9001,CT,Fairfield,1046
S4802,171,7010,9003,CT,Hartford,671
S4802,171,7020,9005,CT,Litchfield,311
S4802,171,7030,9007,CT,Middlesex,164
S4802,171,7040,9009,CT,New Haven,680
S4802,171,7050,9011,CT,New London,308
S4802,171,7060,9013,CT,Tolland,97
S4802,171,7070,9015,CT,Windham,176
S5552,4,7000,9001,CT,Fairfield,37
S5552,4,7040,9009,CT,New Haven,23
S5601,4,7000,9001,CT,Fairfield,11382
S5601,4,7010,9003,CT,Hartford,10590
S5601,4,7020,9005,CT,Litchfield,2857
S5601,4,7030,9007,CT,Middlesex,1898
S5601,4,7040,9009,CT,New Haven,11058
S5601,4,7050,9011,CT,New London,3862
S5601,4,7060,9013,CT,Tolland,1277
S5601,4,7070,9015,CT,Windham,1663
S5601,5,7000,9001,CT,Fairfield,440
S5601,5,7010,9003,CT,Hartford,269
S5601,5,7020,9005,CT,Litchfield,109
S5601,5,7030,9007,CT,Middlesex,60
S5601,5,7040,9009,CT,New Haven,321
S5601,5,7050,9011,CT,New London,108
S5601,5,7060,9013,CT,Tolland,58
S5601,5,7070,9015,CT,Windham,33
S5601,6,7000,9001,CT,Fairfield,112
S5601,6,7010,9003,CT,Hartford,26
S5601,6,7020,9005,CT,Litchfield,14
S5601,6,7040,9009,CT,New Haven,42
S5601,8,7000,9001,CT,Fairfield,14
S5601,22,7000,9001,CT,Fairfield,57
S5601,22,7010,9003,CT,Hartford,58
S5601,22,7040,9009,CT,New Haven,63
S5601,22,7050,9011,CT,New London,17
S5601,64,7000,9001,CT,Fairfield,11
S5601,801,7000,9001,CT,Fairfield,589
S5601,801,7010,9003,CT,Hartford,367
S5601,801,7020,9005,CT,Litchfield,159
S5601,801,7030,9007,CT,Middlesex,126
S5601,801,7040,9009,CT,New Haven,655
S5601,801,7050,9011,CT,New London,139
S5601,801,7060,9013,CT,Tolland,36
S5601,801,7070,9015,CT,Windham,42
S5601,805,7000,9001,CT,Fairfield,1288
S5601,805,7010,9003,CT,Hartford,1209
S5601,805,7020,9005,CT,Litchfield,216
S5601,805,7030,9007,CT,Middlesex,221
S5601,805,7040,9009,CT,New Haven,615
S5601,805,7050,9011,CT,New London,1226
S5601,805,7060,9013,CT,Tolland,184
S5601,805,7070,9015,CT,Windham,121
S5601,807,7000,9001,CT,Fairfield,67
S5601,807,7010,9003,CT,Hartford,15
S5601,807,7030,9007,CT,Middlesex,59
S5601,807,7040,9009,CT,New Haven,41
S5601,807,7050,9011,CT,New London,28
S5601,807,7070,9015,CT,Windham,23
S5601,811,7000,9001,CT,Fairfield,1064
S5601,811,7010,9003,CT,Hartford,168
S5601,811,7020,9005,CT,Litchfield,215
S5601,811,7030,9007,CT,Middlesex,80
S5601,811,7040,9009,CT,New Haven,470
S5601,811,7050,9011,CT,New London,99
S5601,811,7060,9013,CT,Tolland,16
S5601,811,7070,9015,CT,Windham,15
S5601,813,7000,9001,CT,Fairfield,265
S5601,813,7010,9003,CT,Hartford,19
S5601,813,7020,9005,CT,Litchfield,18
S5601,813,7040,9009,CT,New Haven,49
S5601,816,7000,9001,CT,Fairfield,79
S5601,816,7010,9003,CT,Hartford,157
S5601,816,7020,9005,CT,Litchfield,21
S5601,816,7030,9007,CT,Middlesex,39
S5601,816,7040,9009,CT,New Haven,243
S5601,816,7050,9011,CT,New London,54
S5601,816,7060,9013,CT,Tolland,18
S5601,816,7070,9015,CT,Windham,16
S5601,818,7000,9001,CT,Fairfield,203
S5601,818,7010,9003,CT,Hartford,76
S5601,818,7020,9005,CT,Litchfield,47
S5601,818,7030,9007,CT,Middlesex,174
S5601,818,7040,9009,CT,New Haven,3378
S5601,818,7050,9011,CT,New London,59
S5601,820,7000,9001,CT,Fairfield,118
S5601,820,7010,9003,CT,Hartford,25
S5601,820,7020,9005,CT,Litchfield,12
S5601,820,7040,9009,CT,New Haven,56
S5601,820,7050,9011,CT,New London,12
S5617,8,7000,9001,CT,Fairfield,974
S5617,8,7010,9003,CT,Hartford,949
S5617,8,7020,9005,CT,Litchfield,220
S5617,8,7030,9007,CT,Middlesex,161
S5617,8,7040,9009,CT,New Haven,972
S5617,8,7050,9011,CT,New London,369
S5617,8,7060,9013,CT,Tolland,117
S5617,8,7070,9015,CT,Windham,167
S5617,13,7000,9001,CT,Fairfield,38
S5617,13,7040,9009,CT,New Haven,12
S5617,247,7000,9001,CT,Fairfield,445
S5617,247,7010,9003,CT,Hartford,272
