"Contract_ID","Plan_ID","Segment_ID","Year","Premium","Annual_Deductible","In_MOOP","Out_MOOP","In_HP_Deductible","Out_HP_Deductible","In_Inpatient","Out_Inpatient","Out_Inpatient_Coin","In_Primary_Min","In_Primary_Max","Out_Primary_Min","Out_Primary_Max","Out_Primary_Coin","In_Specialist_Min","In_Specialist_Max","Out_Specialist_Min","Out_Specialist_Max","Out_Specialist_Coin","Emergency_Care","Urgent_Care_Min","Urgent_Care_Max","In_Ambulance","In_Ambulance_Coin","Out_Ambulance_Min","Out_Ambulance_Max","Out_Ambulance_Coin","In_Vision_Exam","Out_Vision_Exam","Out_Vision_Exam_Coin","In_Hearing_Exam","Out_Hearing_Exam_Min","Out_Hearing_Exam_Max","Out_Hearing_Exam_Coin","Tier1","Tier2","Tier3","Tier4","Tier4_Coin","Tier5_Coin","OTC_Yearly"
"H2836",5,0,2022,0,95,7550,7550,750,750,325,NA,0.4,5,5,35,35,NA,45,45,60,60,NA,90,30,30,295,NA,295,295,NA,0,0,NA,45,60,60,NA,4,13,42,95,NA,0.31,140
"H3442",1,0,2022,0,0,6700,6700,1,1,750,NA,0.3,0,0,20,20,NA,45,45,65,65,NA,90,40,40,270,NA,270,270,NA,0,65,NA,0,65,65,NA,0,0,47,100,NA,0.33,200
"H3528",3,0,2022,0,NA,6000,NA,0,0,295,295,NA,0,0,0,0,NA,10,10,10,10,NA,90,10,10,50,NA,50,50,NA,10,10,NA,10,10,10,NA,NA,NA,NA,NA,NA,NA,300
"H3528",6,0,2022,242,300,5300,5300,0,0,285,450,NA,15,15,40,40,NA,30,30,40,40,NA,90,30,30,200,NA,200,200,NA,30,30,NA,30,40,40,NA,2,10,42,95,NA,0.27,NA
"H3528",10,0,2022,0,275,7550,NA,0,0,490,490,NA,15,15,15,15,NA,50,50,50,50,NA,90,50,50,415,NA,415,415,NA,45,45,NA,50,50,50,NA,2,10,42,95,NA,0.28,60
"H3528",14,0,2022,0,445,7550,NA,395,NA,490,490,NA,10,10,10,10,NA,45,45,45,45,NA,90,45,45,385,NA,385,385,NA,45,45,NA,45,45,45,NA,2,10,42,95,NA,0.25,240
"H3528",15,0,2022,135,300,6000,6000,0,0,375,NA,0.3,15,15,50,50,NA,35,35,50,50,NA,90,35,35,300,NA,300,300,NA,35,NA,NA,35,50,50,NA,2,10,42,95,NA,0.27,NA
"H0342",1,0,2022,0,0,4900,4900,1,1,795,NA,0.3,0,0,50,50,NA,45,45,50,50,NA,90,45,45,325,NA,325,325,NA,0,50,NA,45,50,50,NA,0,0,47,100,NA,0.33,200
"H0712",19,0,2022,0,0,7550,NA,175,NA,465,465,NA,0,0,0,0,NA,45,45,45,45,NA,90,25,25,300,NA,300,300,NA,0,0,NA,45,45,45,NA,0,1,37,NA,0.43,0.33,120
"H0712",20,0,2022,24.1,480,5500,NA,0,0,375,375,NA,0,0,0,0,NA,30,30,30,30,NA,90,25,25,250,NA,250,250,NA,0,0,NA,30,30,30,NA,0,15,42,NA,0.48,0.25,400
"H0755",30,0,2022,91,0,4700,NA,0,0,345,345,NA,0,0,0,0,NA,30,30,30,30,NA,90,40,40,270,NA,270,270,NA,0,0,NA,0,0,0,NA,0,12,47,100,NA,0.33,240
"H0755",31,0,2022,29,150,6000,NA,0,0,395,395,NA,10,10,10,10,NA,40,40,40,40,NA,90,40,40,270,NA,270,270,NA,0,0,NA,0,0,0,NA,0,12,47,100,NA,0.3,200
"H0755",32,0,2022,0,NA,6000,NA,0,0,395,395,NA,0,0,0,0,NA,35,35,35,35,NA,90,40,40,250,NA,250,250,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,200
"H0755",33,0,2022,0,175,6700,NA,0,0,450,450,NA,15,15,15,15,NA,45,45,45,45,NA,90,40,40,265,NA,265,265,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,160
"H1914",1,0,2022,0,200,5500,5500,0,0,450,NA,0.2,0,0,20,20,NA,40,40,50,50,NA,90,40,40,250,NA,250,250,NA,0,NA,0.4,40,50,50,NA,0,1,37,NA,0.45,0.29,180
"H1914",2,0,2022,0,395,7550,7550,225,225,465,NA,0.2,0,0,50,50,NA,40,40,50,50,NA,90,40,40,265,NA,265,265,NA,0,NA,0.4,40,50,50,NA,0,10,37,NA,0.48,0.26,140
"H3528",11,1,2022,46,300,5500,10000,0,0,465,NA,0.35,5,5,NA,NA,0.35,50,50,NA,NA,0.35,95,50,50,325,NA,325,325,NA,50,NA,NA,50,NA,NA,0.35,2,10,42,95,NA,0.27,200
