"","Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"270","H5854",8,7000,9001,"CT","Fairfield",2238,"2019"
"271","H5854",8,7010,9003,"CT","Hartford",4020,"2019"
"272","H5854",8,7020,9005,"CT","Litchfield",669,"2019"
"273","H5854",8,7030,9007,"CT","Middlesex",614,"2019"
"274","H5854",8,7040,9009,"CT","New Haven",4480,"2019"
"275","H5854",8,7050,9011,"CT","New London",503,"2019"
"276","H5854",8,7060,9013,"CT","Tolland",396,"2019"
"277","H5854",8,7070,9015,"CT","Windham",363,"2019"
"278","H5854",9,7000,9001,"CT","Fairfield",637,"2019"
"279","H5854",9,7020,9005,"CT","Litchfield",150,"2019"
"280","H5854",9,7030,9007,"CT","Middlesex",62,"2019"
"281","H5854",9,7040,9009,"CT","New Haven",831,"2019"
"282","H5854",9,7070,9015,"CT","Windham",51,"2019"
"283","H5854",10,7000,9001,"CT","Fairfield",2008,"2019"
"284","H5854",10,7010,9003,"CT","Hartford",1939,"2019"
"285","H5854",10,7020,9005,"CT","Litchfield",544,"2019"
"286","H5854",10,7030,9007,"CT","Middlesex",700,"2019"
"287","H5854",10,7040,9009,"CT","New Haven",4115,"2019"
"288","H5854",10,7070,9015,"CT","Windham",267,"2019"
"289","H5854",11,7000,9001,"CT","Fairfield",304,"2019"
"290","H5854",11,7010,9003,"CT","Hartford",843,"2019"
"291","H5854",11,7020,9005,"CT","Litchfield",109,"2019"
"292","H5854",11,7030,9007,"CT","Middlesex",116,"2019"
"293","H5854",11,7040,9009,"CT","New Haven",715,"2019"
"294","H5854",11,7050,9011,"CT","New London",240,"2019"
"295","H5854",11,7060,9013,"CT","Tolland",111,"2019"
"296","H5854",11,7070,9015,"CT","Windham",63,"2019"
"297","H5854",12,7010,9003,"CT","Hartford",11,"2019"
"298","H9572",802,7000,9001,"CT","Fairfield",16,"2019"
"299","R7444",1,7000,9001,"CT","Fairfield",1239,"2019"
"300","R7444",1,7010,9003,"CT","Hartford",1093,"2019"
