"Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"S2893",3,7030,9007,"CT","Middlesex","99",2022
"S2893",3,7040,9009,"CT","New Haven","445",2022
"S2893",3,7050,9011,"CT","New London","135",2022
"S2893",3,7060,9013,"CT","Tolland","56",2022
"S2893",3,7070,9015,"CT","Windham","39",2022
"S2893",801,7000,9001,"CT","Fairfield","109",2022
"S2893",801,7010,9003,"CT","Hartford","412",2022
"S2893",801,7020,9005,"CT","Litchfield","113",2022
"S2893",801,7030,9007,"CT","Middlesex","60",2022
"S2893",801,7040,9009,"CT","New Haven","130",2022
"S2893",801,7050,9011,"CT","New London","96",2022
"S2893",801,7060,9013,"CT","Tolland","48",2022
"S2893",801,7070,9015,"CT","Windham","75",2022
"S4501",804,7000,9001,"CT","Fairfield","82",2022
"S4802",76,7000,9001,"CT","Fairfield","3684",2022
"S4802",76,7010,9003,"CT","Hartford","3795",2022
"S4802",76,7020,9005,"CT","Litchfield","1022",2022
"S4802",76,7030,9007,"CT","Middlesex","671",2022
"S4802",76,7040,9009,"CT","New Haven","3730",2022
"S4802",76,7050,9011,"CT","New London","1465",2022
"S4802",76,7060,9013,"CT","Tolland","440",2022
"S4802",76,7070,9015,"CT","Windham","670",2022
"S4802",77,7000,9001,"CT","Fairfield","36",2022
"S4802",77,7010,9003,"CT","Hartford","12",2022
"S4802",77,7040,9009,"CT","New Haven","16",2022
"S4802",137,7000,9001,"CT","Fairfield","6876",2022
"S4802",137,7010,9003,"CT","Hartford","3698",2022
"S4802",137,7020,9005,"CT","Litchfield","1597",2022
"S4802",137,7030,9007,"CT","Middlesex","1005",2022
